field,n_patients,coverage_pct_of_4366,distinct_values,top_5_values,category,medically_relevant,analysis_grade,note
conditions,2521,57.7,817,long covid(759); pem(127); mcas(73); long covid | pem(72); pots(65),phenotype,yes,yes,
prior_infections,2120,48.6,90,covid(1912); covid | ebv(32); covid | sars-cov(28); ebv(9); covid | lyme disease(9),phenotype,yes,yes,
treatment_outcome,1953,44.7,631,helped(1034); helped | worsened(48); helped | no_effect(47); no_effect(31); worsened(24),outcome,yes,yes,
medications,1673,38.3,924,ldn(136); magnesium(47); paxlovid(29); ivig(29); b12(28),treatment,yes,yes,
symptom_trajectory,1346,30.8,281,improving(280); relapsing(220); worsening(160); severe decline(108); recovered(71),phenotype,yes,yes,
medication_trial_outcome_category,1267,29.0,551,helped(501); flare up(21); no effect(15); doesn't work(14); doesn't help(11),outcome,yes,yes,
targeted_symptom_domain,1200,27.5,769,with pem(37); mcas and(32); with pots(29); for pots(21); with mcas(18),noise,no,no,extraction artifact (verb/fragment) — drop
onset_trigger,1151,26.4,192,covid(533); reinfection(153); infection(100); no reason(26); covid | reinfection(20),phenotype,yes,yes,
symptom_duration,1154,26.4,327,4 years(105); 3 years(89); 2 years(86); 6 years(85); 5 years(82),phenotype,yes,yes,
mental_health,1001,22.9,141,anxiety(257); therapy(244); depression(90); anxiety | therapy(40); anxiety | depression(39),phenotype,yes,no,
social_impact,932,21.3,325,isolation(487); relationship strain(24); isolation | relationship strai(23); dependent on(10); caregiver(8),experience,adjacent,no,
supplement_type_used,888,20.3,514,ldn(106); nac(26); creatine(26); coq10(25); supplements(17),treatment,yes,no,
alternative_treatment_trial,864,19.8,621,ldn(59); nicotine patches(16); nattokinase(11); hyperbaric oxygen therapy(11); fasting(11),treatment,yes,no,
alternative_treatments,844,19.3,456,pacing(143); meditation(33); hbot(21); acupuncture(21); stellate ganglion block(18),treatment,yes,no,
cognitive_impairment_type,831,19.0,221,brain fog(488); brainfog(27); memory issues(11); memory decay(11); brain fog | memory issues(10),phenotype,yes,no,
lifestyle_intervention_type,806,18.5,526,pacing(87); low histamine diet(20); rest(15); radical rest(13); meditation(13),treatment,yes,no,
functional_status_tier,722,16.5,70,bedbound(158); severe(144); housebound(99); moderate(82); bedbound | housebound(46),phenotype,yes,no,
dosage,716,16.4,449,low dose(73); high dose(20); 5(16); 1(15); microdose(11),treatment,yes,no,
long_covid_duration_months,711,16.3,133,48(66); 48 months(46); 36(44); 60(36); 72(35),phenotype,yes,no,
procedures,656,15.0,308,mri(85); surgery(64); injection(31); infusion(23); procedure(18),treatment,yes,no,
work_disability_status,638,14.6,255,unable to work(79); working(68); working reduced(57); on disability(37); working full-time(19),experience,adjacent,no,
biomarker_results,606,13.9,457,viral persistence(44); microclots(32); positive ana(11); ebv reactivation(8); low ferritin(7),biomarker,yes,no,
muscle_group_weakness_focus,536,12.3,180,legs(56); back(53); neck(48); hands(48); feet(38),phenotype,yes,no,
symptom_improvement_after_metabolic_intervention,534,12.2,370,feeling better(68); symptoms improved(17); symptoms resolved(9); symptoms have improved(6); reduced inflammation(6),outcome,yes,no,
location_country,511,11.7,110,uk(91); usa(56); canada(47); us(38); germany(28),demographic,yes,no,
physical_rehabilitation_approach,507,11.6,199,get(239); physical therapy(19); pacing(11); yoga(5); physiotherapy(5),noise,no,no,extraction artifact (verb/fragment) — drop
dietary_interventions,478,10.9,246,low histamine(64); fasting(60); keto(15); intermittent fasting(11); gluten free(11),treatment,yes,no,
infection_count,441,10.1,129,reinfection(87); reinfected(51); 2(33); 1(24); reinfected | reinfection(18),phenotype,yes,no,
clinical_trial_participation,432,9.9,53,recover(309); clinical trial(24); reverse(22); recover | reverse(12); reverse | recover(6),noise,no,no,extraction artifact (verb/fragment) — drop
dysautonomia_symptom_cluster,426,9.8,294,heart palpitations(15); pots(14); orthostatic intolerance(14); tachycardia(13); bradycardia(11),phenotype,yes,no,
supplement_stack_reported,427,9.8,412,"coq10(3); all of the supplements(3); 50,000(3); supplements don't help(2); supplements(2)",treatment,yes,no,very high cardinality — needs normalization
musculoskeletal_pain_location,395,9.0,251,neck(46); chest(20); legs(15); joint pain(14); back(7),phenotype,yes,no,
doctor_dismissal,383,8.8,151,dismissed(125); gaslighting(56); dismissed by doctors(8); dismissal(8); gaslighting | dismissed(5),experience,adjacent,no,
dysautonomia_type,370,8.5,61,pots(221); dysautonomia(41); sympathetic overdrive(16); orthostatic intolerance(9); small fiber neuropathy(8),phenotype,yes,no,
mast_cell_involvement,361,8.3,74,mcas(173); suspected mcas(70); suspected(20); diagnosed with mcas(11); started ketotifen(6),phenotype,yes,no,
age,360,8.2,112,mid(14); 30(14); 40(12); 24(12); 20(11),demographic,yes,no,
antihistamine_type_tried,357,8.2,144,ketotifen(52); zyrtec(20); famotidine(20); h2 blockers(15); benadryl(15),treatment,yes,no,
covid_wave,352,8.1,72,beta(99); original(52); alpha(50); march 2020(17); first wave(17),phenotype,yes,no,
diagnosis_source,324,7.4,167,specialist(30); neurologist(25); long covid clinic(18); doctor(16); gp(10),experience,adjacent,no,
doctor_dismiss_reason,306,7.0,123,me(100); anxiety(38); dysautonomia(10); head(8); stress(7),noise,no,no,extraction artifact (verb/fragment) — drop
emotional_regulation_difficulty,297,6.8,172,anhedonia(62); emotional flatness(13); anxiety(10); not happy(9); anger(7),phenotype,yes,no,
medication_sensitivity_level,295,6.8,201,heightened sensitivity(14); can't tolerate(14); very sensitive(8); so sensitive(8); cannot tolerate(7),outcome,yes,no,
concurrent_metabolic_complication,283,6.5,123,weight loss(34); weight gain(21); high blood pressure(20); hypertension(19); low blood pressure(18),phenotype,yes,no,
deconditioning_severity_trajectory,283,6.5,148,bedbound(66); housebound(36); bedridden(10); bedbound | housebound(6); bed bound(6),phenotype,yes,no,
sensory_overload_or_hypersensitivity,263,6.0,157,light sensitivity(32); sound sensitivity(17); sensory overload(17); sensory sensitivity(7); noise sensitivity(7),phenotype,yes,no,
sex_gender,262,6.0,63,male(91); female(77); woman(12); man(5); 3m(5),demographic,yes,no,
healthcare_costs,257,5.9,170,can’t afford(28); out of pocket(26); can't afford(17); insurance coverage(5); expensive(5),experience,adjacent,no,
proposed_mechanism_for_metabolic_change,255,5.8,139,inflammation(49); mitochondrial dysfunction(13); insulin resistance(13); persistent virus(9); sympathetic overdrive(8),fringe,no,no,"patient theory/speculation, not clinical data"
vaccination_status,253,5.8,124,vaccinated(30); unvaccinated(24); novavax(22); moderna(12); pfizer(11),phenotype,yes,no,
mast_cell_stabilizer_use,251,5.7,104,ketotifen(38); cromolyn(16); famotidine(14); antihistamines(10); zyrtec(9),treatment,yes,no,
supplement_dosage_and_timing,243,5.6,243,zinc l-carnosine(1); zinc 15mg | vitamin c 250mg(1); zinc 15 mg daily(1); vitamin k2: 200mg(1); vitamin d3: 50000 iu(1),treatment,yes,no,very high cardinality — needs normalization
micronutrient_response_pattern,236,5.4,192,b12(13); magnesium(7); magnesium helped(5); electrolytes help(5); electrolytes(5),outcome,yes,no,
healthcare_system,218,5.0,82,nhs(53); uk(17); medicaid(13); canada(11); private insurance(10),experience,adjacent,no,
hormonal_events,219,5.0,84,hormone(39); pregnancy(31); menopause(17); hormonal(16); perimenopause(11),phenotype,yes,no,
inflammatory_biomarker_interest,218,5.0,66,anti-inflammatory(51); cytokines(26); crp(17); cytokine(15); reduce inflammation(12),biomarker,yes,no,
misdiagnosis,197,4.5,77,thought it was(71); anxiety(15); misdiagnosed(12); told it was(6); depression(6),experience,adjacent,no,
myalgia_distribution,192,4.4,82,joint pain(71); generalized(15); legs(7); muscle pain(4); body pain(4),phenotype,yes,no,
mitochondrial_support_stack,184,4.2,112,coq10(42); nad(9); methylene blue(7); ubiquinol(4); nmn(3),treatment,yes,no,
wearable_device_type,178,4.1,96,tms(13); smart watch(9); vagus nerve stimulator(8); rtms(8); fitbit(8),treatment,yes,no,
location_us_state,175,4.0,80,california(26); new york(13); texas(11); utah(6); maryland(6),demographic,yes,no,
ethnicity,172,3.9,20,white(89); black(43); black | white(17); white | black(6); chinese(2),demographic,yes,no,
family_history,169,3.9,67,genetic(69); son(11); sister(9); daughter(4); mother(3),phenotype,yes,no,
topical_mucosal_symptoms,167,3.8,110,sore throat(32); nasal drip(16); sore throat | nasal drip(3); burning skin(3); throat pain(2),phenotype,yes,no,
cognitive_disability_acceptance,143,3.3,40,accepted(68); acceptance(26); rejected(7); accepted disability(3); radical acceptance(2),experience,adjacent,no,
sleep_non_restorative,146,3.3,74,unrefreshing sleep(24); non-restorative sleep(14); unrefreshing(12); non-restorative(8); insomnia(5),phenotype,yes,no,
diagnostic_odyssey,137,3.1,76,many doctors(14); 4 years(8); years undiagnosed(7); 5 years(5); 3 years(5),experience,adjacent,no,
orthopedic_device_use,136,3.1,102,wheelchair(10); shower stool(7); shower chair(7); compression socks(5); abdominal binder(4),treatment,yes,no,
radical_pacing_attempted,123,2.8,38,radical rest(37); radical pacing(19); pacing(13); yes(11); attempted(4),treatment,yes,no,
post_exercise_recovery_window,118,2.7,67,energy envelope(21); days after(6); 24 hours(6); day after(5); weeks to months(4),phenotype,yes,no,
occupational_exposure_risk,114,2.6,70,healthcare worker(35); hcw(4); nurse(3); doctor(3); welder(2),demographic,yes,no,
post_vaccine_symptom_exacerbation,114,2.6,99,worsening(5); vaccine injury(5); worsened(4); worsened after booster(2); vaccine reaction(2),phenotype,yes,no,very high cardinality — needs normalization
dietary_pattern_pre_illness,105,2.4,47,low(31); high(10); vegetarian(7); clean(5); vegan(3),phenotype,yes,no,
connective_tissue_symptoms,100,2.3,53,cci(27); hypermobility(8); heds(5); joint hypermobility(4); eds(4),phenotype,yes,no,
device_cost_concern,101,2.3,49,can't afford(19); too expensive(15); high cost(6); expensive(6); cost barrier(6),experience,adjacent,no,
age_at_onset,90,2.1,51,16(7); 35(4); 30(4); 25(4); 24(4),demographic,yes,no,
supplement_trial_for_blood_glucose,87,2.0,15,magnesium(22); nac(19); coq10(19); taurine(7); zinc(5),treatment,yes,no,
medication_class_combination_attempted,80,1.8,80,xanax and sleep medication(1); triple therapy antihistamines(1); triple therapy(1); trazodone: zyrtec(1); stimulant and mirtazapine(1),noise,no,no,extraction artifact (verb/fragment) — drop
sympathetic_overdrive_treatment,70,1.6,53,guanfacine(8); propranolol(5); clonidine(3); beta blockers(3); stellate ganglion block(2),treatment,yes,no,
breathing_exertion_dependency,65,1.5,28,exertional(21); exertional dyspnea(11); exertion triggered(7); walking triggers(2); triggered by exertion(1),phenotype,yes,no,
neuromarker_identification,67,1.5,17,endothelial(32); neuroinflammation(17); white matter hyperintensities(3); neuroinflammation | endothelia(2); temporal hypermetabolism | pit(1),biomarker,yes,no,
breathing_onset_pattern,61,1.4,34,sudden(13); suddenly(9); overnight(4); slowly the symptom(2); slowly develop(2),phenotype,yes,no,
electrolyte_imbalance_suspected,59,1.4,41,magnesium deficiency(4); low potassium(4); low magnesium(3); electrolyte balance(3); potassium imbalance(2),biomarker,yes,no,
chronic_phlegm_or_saliva,56,1.3,46,post nasal drip(6); post-nasal drip(2); phlegm(2); mucus(2); dry mouth(2),phenotype,yes,no,
guanfacine_trial,55,1.3,27,guanfacine(14); yes(6); tried(6); tried guanfacine(3); prescribed(2),treatment,yes,no,
exercise_protocol_name,47,1.1,36,the protocol(6); chop protocol(6); hiit(2); zone 2 exercise(1); zone 2 conditioning(1),treatment,yes,no,
red_nir_light_therapy,46,1.1,26,red light therapy(18); red/nir light therapy(2); red light panel(2); red light cap(2); vielight neuro duo(1),treatment,yes,no,
topical_pain_management,46,1.1,27,magnesium(17); icy hot(3); cbd(2); voltaren(1); vicks vapor rub | antibiotic c(1),treatment,yes,no,
time_to_diagnosis,42,1.0,24,3 years(5); 5 years(4); 4 years(4); finally diagnos(3); two years(2),experience,adjacent,no,
pulsatile_lymphadenopathy,32,0.7,13,swollen(15); neck(4); neck | swollen(3); tender swollen lymph nodes(1); tender(1),phenotype,yes,no,
methylene_blue_use,26,0.6,15,methylene blue(10); tried(3); yes(1); using(1); tried methylene blue(1),treatment,yes,no,
visible_pulse_prominence,25,0.6,21,visible veins(2); veins showing(2); veins bulging(2); bulging veins(2); weird pulses(1),fringe,no,no,"patient theory/speculation, not clinical data"
nasal_colonization_suspected,20,0.5,20,virus still in body(1); viral reservoir gut(1); viral persistence(1); viral matter(1); sinus issues(1),fringe,no,no,"patient theory/speculation, not clinical data"
autoantibody_testing_done,13,0.3,13,ß2 gpcr aabs | m3 gpcr aabs(1); sending mine on tuesday to tes(1); mayo clinic dysautonomia panel(1); gpcr aab positive(1); autoimmune neuropathy panel(1),biomarker,yes,no,very high cardinality — needs normalization
cell_danger_response_informed,10,0.2,8,cell danger response theory(2); aware(2); danger response loop(1); cell danger response theory | (1); cell danger response framework(1),fringe,no,no,"patient theory/speculation, not clinical data"
diy_bioelectronic_experimentation,6,0.1,6,tvns(1); i've built my own ces devices (1); diy tens vns(1); diy electrolytes(1); diy ces device(1),fringe,no,no,"patient theory/speculation, not clinical data"
